ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Khi xây dựng ý tưởng cho dự án TMĐT, yếu tố ""Đề xuất giá trị"" (Value Proposition) nhằm giải quyết vấn đề cốt lõi nào?",Lý do khách chọn bạn thay vì đối thủ.,Tổng số vốn cần đầu tư ban đầu.,Quy trình tuyển dụng nhân sự kho.,Danh sách các loại thuế phải đóng.,A,Lý do khách chọn bạn thay vì đối thủ.,"Đề xuất giá trị (Value Proposition) mô tả các lợi ích mà công ty cung cấp, giải thích tại sao khách hàng nên mua sản phẩm/dịch vụ đó để giải quyết vấn đề của họ thay vì chọn đối thủ cạnh tranh."
2,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Khi lập kế hoạch cho một gian hàng TMĐT mới, bước đầu tiên thường là gì?",Chạy quảng cáo ngay.,Xác định khách hàng mục tiêu.,Thuê nhân viên giao hàng.,Mua phần mềm đắt tiền.,B,Xác định khách hàng mục tiêu.,Xác định khách hàng mục tiêu và nhu cầu của họ là bước đầu tiên trong mô hình kinh doanh để tạo ra đề xuất giá trị phù hợp.
3,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,Mô hình phân tích SWOT thường được sử dụng trong bài tập nhóm để làm gì?,Tính toán thuế thu nhập.,Đánh giá điểm mạnh/yếu.,Thiết kế logo công ty.,Lập trình website.,B,Đánh giá điểm mạnh/yếu.,"SWOT là công cụ phân tích Điểm mạnh (Strengths), Điểm yếu (Weaknesses), Cơ hội (Opportunities) và Thách thức (Threats) để hoạch định chiến lược."
4,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,Chương 2 của học phần (nội dung tự học cho tuần sau) tập trung vào chủ đề gì?,Marketing điện tử.,Giao dịch điện tử.,An toàn thông tin.,Quản trị chuỗi cung ứng.,B,Giao dịch điện tử.,"Theo lộ trình, sau Chương 1 Tổng quan là Chương 2 về Giao dịch điện tử (Hợp đồng, Thanh toán)."
5,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Yếu tố ""C"" nào trong mô hình 6Cs đề cập đến việc tạo thuận lợi cho giao dịch?",Choice.,Convenience.,Content.,Customization.,B,Convenience.,"Convenience (Sự tiện lợi) đề cập đến việc làm cho quy trình mua sắm trở nên đơn giản, nhanh chóng và dễ dàng cho khách hàng."
6,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Để một nhóm làm việc hiệu quả trong bài tập A2.3, yếu tố nào là quan trọng nhất?",Chọn trưởng nhóm giỏi nhất.,Phân chia công việc hợp lý.,Chỉ làm việc cá nhân.,Không cần họp nhóm.,B,Phân chia công việc hợp lý.,Kỹ năng làm việc nhóm và khả năng lãnh đạo (phân chia công việc) là tiêu chí quan trọng trong rubric đánh giá bài tập nhóm.
7,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,Một gian hàng trên Shopee hay Lazada là ví dụ của mô hình nào?,Webstore riêng biệt.,Gian hàng trên E-marketplace.,Cổng thông tin (Portal).,Mạng riêng ảo (VPN).,B,Gian hàng trên E-marketplace.,"Shopee, Lazada là các Sàn giao dịch (E-marketplace/E-mall), nơi các gian hàng thuê không gian để kinh doanh."
8,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Khi phân tích một gian hàng thực tế, chỉ số ""Conversion Rate"" (Tỷ lệ chuyển đổi) cho biết điều gì?",Số lượng nhân viên bán hàng.,Tỷ lệ khách mua hàng trên tổng khách truy cập.,Tổng số lượt thích trên Facebook.,Chi phí vận chuyển trung bình.,B,Tỷ lệ khách mua hàng trên tổng khách truy cập.,"Tỷ lệ chuyển đổi đo lường phần trăm khách truy cập thực hiện hành động mong muốn (như mua hàng), phản ánh hiệu quả kinh doanh."
9,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Trong bài tập nhóm, khi chọn mô hình ""Dropshipping"", lợi ích lớn nhất về vận hành là gì?",Không cần giữ hàng tồn kho.,Lợi nhuận biên rất cao.,Kiểm soát hoàn toàn chất lượng.,Thời gian giao hàng nhanh nhất.,A,Không cần giữ hàng tồn kho.,"Dropshipping cho phép người bán không cần lưu kho, giảm rủi ro và chi phí vốn ban đầu, phù hợp cho các dự án khởi nghiệp sinh viên."
10,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"""Đề xuất giá trị trực tuyến"" (OVP) của một dự án TMĐT cần trả lời câu hỏi cốt lõi nào?",Website dùng màu gì?,Tại sao khách nên mua ở đây?,Máy chủ đặt ở đâu?,Ai là người lập trình web?,B,Tại sao khách nên mua ở đây?,"OVP (Online Value Proposition) xác định lý do tại sao khách hàng nên chọn mua từ bạn thay vì đối thủ, dựa trên lợi ích khác biệt."
