ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Thuật ngữ ""Order Fulfillment"" (Hoàn tất đơn hàng) đề cập đến quy trình nào?",Chỉ là khâu vận chuyển hàng hóa.,Quy trình từ nhận đơn đến khi giao hàng.,Chỉ là khâu sản xuất sản phẩm tại nhà máy.,Việc khách hàng thanh toán tiền mặt.,B,Quy trình từ nhận đơn đến khi giao hàng.,Order fulfillment đề cập đến tất cả các hoạt động mà công ty thực hiện từ lúc nhận đơn hàng cho đến khi hàng được giao đến tay khách hàng.
2,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"""Reverse Logistics"" (Logistics ngược) trong thương mại điện tử chủ yếu giải quyết vấn đề gì?",Nhập nguyên liệu thô.,Xử lý hàng hóa đổi trả.,Giao hàng chặng cuối.,Tuyển dụng nhân sự mới.,B,Xử lý hàng hóa đổi trả.,"Reverse logistics liên quan đến dòng chảy của hàng hóa từ người tiêu dùng trở lại người bán, chủ yếu là xử lý hàng đổi trả (returns)."
3,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Vai trò của bên thứ ba cung cấp dịch vụ logistics (3PL) là gì?,Sản xuất hàng hóa cho người bán.,Cung cấp dịch vụ vận chuyển và kho bãi.,Quản lý tài khoản ngân hàng của người bán.,Thiết kế website bán hàng trực tuyến.,B,Cung cấp dịch vụ vận chuyển và kho bãi.,"3PL (Third-party logistics) là các công ty bên ngoài cung cấp dịch vụ hậu cần như vận chuyển, lưu kho thay vì doanh nghiệp tự làm."
4,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Trong mô hình ""Drop-shipping"", ai là người chịu trách nhiệm lưu kho và giao hàng cho khách?",Người bán lẻ (Retailer).,Nhà cung cấp (Supplier).,Ngân hàng thanh toán.,Sàn giao dịch chứng khoán.,B,Nhà cung cấp (Supplier).,"Trong Drop-shipping, người bán chuyển đơn hàng cho nhà cung cấp/nhà sản xuất và họ sẽ giao trực tiếp cho khách, người bán không giữ kho."
5,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Một kỹ năng nhân sự quan trọng mới nổi cần thiết cho TMĐT ngoài kỹ năng IT là gì?,Kỹ năng vận hành máy in offset.,Phân tích dữ liệu lớn (Big Data).,Kỹ năng sửa chữa xe tải giao hàng.,Kỹ năng lưu trữ hồ sơ giấy tờ.,B,Phân tích dữ liệu lớn (Big Data).,Nhân lực TMĐT cần hiểu biết về phân tích dữ liệu lớn để ra quyết định dựa trên hành vi khách hàng.
6,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"""Last Mile Delivery"" (Giao hàng chặng cuối) thường được coi là khâu như thế nào trong logistics?",Khâu rẻ nhất trong chuỗi.,Khâu tốn kém và phức tạp nhất.,Khâu ít quan trọng nhất.,Khâu hoàn toàn tự động hóa.,B,Khâu tốn kém và phức tạp nhất.,Giao hàng chặng cuối đến cửa nhà khách hàng thường là phần tốn kém và phức tạp nhất do số lượng điểm đến lớn và đơn hàng nhỏ lẻ.
7,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Công nghệ RFID (Nhận dạng qua tần số vô tuyến) chủ yếu giúp cải thiện điều gì trong chuỗi cung ứng?,Tăng giá bán sản phẩm.,Khả năng nhìn thấy (Visibility) hàng hóa.,Tăng thời gian vận chuyển.,Giảm chất lượng sản phẩm.,B,Khả năng nhìn thấy (Visibility) hàng hóa.,RFID cung cấp khả năng hiển thị (visibility) và theo dõi vị trí của hàng hóa trong thời gian thực dọc theo chuỗi cung ứng.
8,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Sự khác biệt chính giữa mô hình ""Make-to-Stock"" (MTS) và ""Make-to-Order"" (MTO) là gì?","MTS sản xuất khi có đơn, MTO sản xuất để tồn kho.","MTS sản xuất để tồn kho, MTO sản xuất khi có đơn.",Cả hai đều không cần kho bãi.,MTO chỉ dành cho hàng hóa kỹ thuật số.,B,"MTS sản xuất để tồn kho, MTO sản xuất khi có đơn.","MTS (Make-to-stock) sản xuất dựa trên dự báo để lưu kho, trong khi MTO (Make-to-order) chỉ sản xuất sau khi đã nhận được đơn đặt hàng."
9,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Tại sao Amazon sử dụng robot Kiva (Amazon Robotics) trong các trung tâm fulfillment của họ?,Để thay thế hoàn toàn con người.,Để mang kệ hàng đến cho nhân viên (Goods-to-man).,Để lái xe tải giao hàng đường dài.,Để trả lời điện thoại khách hàng.,B,Để mang kệ hàng đến cho nhân viên (Goods-to-man).,"Robot Kiva thực hiện quy trình ""Goods-to-man"", tự động di chuyển các kệ hàng đến vị trí nhân viên đóng gói, giúp giảm thời gian đi lại."
10,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"""Bullwhip Effect"" (Hiệu ứng cái roi da) trong chuỗi cung ứng mô tả hiện tượng tiêu cực nào?",Sự thiếu hụt nhân sự giao hàng.,Sự biến động thông tin nhu cầu bị khuếch đại.,Giá xăng dầu tăng đột biến.,Hàng hóa bị hỏng khi vận chuyển.,B,Sự biến động thông tin nhu cầu bị khuếch đại.,"Hiệu ứng Bullwhip là sự sai lệch giữa nhu cầu thực tế và tồn kho, sự biến động này tăng dần khi đi ngược lên phía trên chuỗi cung ứng do thiếu chia sẻ thông tin."
11,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Mô hình ""Click-and-mortar"" có lợi thế gì hơn ""Pure-play"" trong việc xử lý hàng đổi trả (Returns)?",Không cho phép đổi trả hàng.,Khách có thể trả hàng tại cửa hàng vật lý.,Luôn miễn phí vận chuyển trả hàng.,Tự động hoàn tiền mà không cần nhận lại hàng.,B,Khách có thể trả hàng tại cửa hàng vật lý.,"Các cửa hàng Click-and-mortar (như Walmart) cho phép khách hàng mang hàng mua online đến trả trực tiếp tại cửa hàng vật lý, thuận tiện hơn gửi bưu điện."
12,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Một thách thức lớn về nhân lực đối với các doanh nghiệp TMĐT vừa và nhỏ là gì?,Quá nhiều ứng viên nộp đơn.,"Khan hiếm nhân tài kỹ năng cao (AI, dữ liệu).",Chi phí đào tạo quá thấp.,Không cần nhân viên biết dùng máy tính.,B,"Khan hiếm nhân tài kỹ năng cao (AI, dữ liệu).",Sự khan hiếm nhân tài có kỹ năng cao về AI và khoa học dữ liệu là rào cản lớn cho các doanh nghiệp.
13,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Hệ thống quản lý kho hàng (WMS) giúp ích gì cho hoạt động fulfillment?,Tự động đặt hàng từ nhà cung cấp.,Tối ưu hóa vị trí và quy trình lấy hàng.,Tăng chi phí nhân sự kho.,Loại bỏ nhu cầu kiểm kê hàng hóa.,B,Tối ưu hóa vị trí và quy trình lấy hàng.,"WMS giúp quản lý vị trí hàng hóa, tối ưu hóa lộ trình lấy hàng (picking) và kiểm soát tồn kho chính xác."
14,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Tại sao các đơn hàng B2B thường phức tạp hơn B2C trong khâu hoàn tất đơn hàng?,Vì B2B thanh toán bằng tiền mặt.,Do khối lượng lớn và yêu cầu vận chuyển đặc thù.,Vì B2B không sử dụng Internet.,Vì B2B chỉ giao hàng vào ban đêm.,B,Do khối lượng lớn và yêu cầu vận chuyển đặc thù.,"B2B phức tạp hơn do lô hàng lớn hơn, nhiều kênh phân phối, quy trình giao dịch phức tạp và yêu cầu đóng gói/vận chuyển khắt khe hơn."
15,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Chiến lược ""Merge-in-transit"" (Hợp nhất trong quá trình vận chuyển) giúp tối ưu hóa logistics như thế nào?",Lưu trữ tất cả linh kiện tại một kho trung tâm lớn.,Gom các linh kiện từ nhiều nguồn và giao một lần cho khách.,Giao từng linh kiện riêng lẻ cho khách hàng để nhanh hơn.,Yêu cầu khách hàng tự đến các nhà máy để lấy linh kiện.,B,Gom các linh kiện từ nhiều nguồn và giao một lần cho khách.,"Merge-in-transit là vận chuyển các thành phần từ các địa điểm khác nhau và hợp nhất chúng thành một lô hàng duy nhất trước khi giao cho khách, giảm kho bãi trung gian."
16,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Việc Amazon xây dựng các ""Sortation Centers"" (Trung tâm phân loại) nhằm mục đích chiến lược gì?",Tăng sự phụ thuộc vào UPS và FedEx.,Giành quyền kiểm soát và giảm chi phí giao hàng chặng cuối.,Chỉ để lưu trữ hàng hóa lâu dài.,Để bán lại dịch vụ cho các đối thủ.,B,Giành quyền kiểm soát và giảm chi phí giao hàng chặng cuối.,"Các trung tâm phân loại giúp Amazon giảm sự phụ thuộc vào UPS/FedEx, chuyển sang dùng USPS và tự kiểm soát giao hàng để đạt tốc độ nhanh hơn và chi phí thấp hơn."
17,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Tại sao mô hình ""Assemble-to-Order"" (Lắp ráp theo đơn) của Dell lại yêu cầu sự tích hợp chuỗi cung ứng chặt chẽ?",Vì Dell tự sản xuất tất cả linh kiện.,Vì cần linh kiện đúng lúc (JIT) để lắp ráp nhanh.,Vì khách hàng muốn nhận hàng sau 1 tháng.,Vì tồn kho linh kiện của Dell rất lớn.,B,Vì cần linh kiện đúng lúc (JIT) để lắp ráp nhanh.,"Dell giảm thiểu tồn kho bằng cách chỉ lắp ráp khi có đơn, do đó cần nhà cung cấp giao linh kiện ngay lập tức (Just-in-time) để đảm bảo tốc độ giao hàng."
18,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,Rủi ro lớn nhất của việc thuê ngoài toàn bộ logistics (3PL) đối với một doanh nghiệp TMĐT là gì?,Tăng chi phí đầu tư tài sản cố định.,Mất kiểm soát trực tiếp chất lượng dịch vụ giao hàng.,Phải tự tuyển dụng tài xế.,Phải xây dựng nhiều kho bãi.,B,Mất kiểm soát trực tiếp chất lượng dịch vụ giao hàng.,Thuê ngoài 3PL có thể dẫn đến việc phụ thuộc vào người ngoài và khó kiểm soát độ tin cậy cũng như trải nghiệm giao hàng trực tiếp với khách.
19,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Trong bối cảnh hạ tầng nhân lực, tại sao kỹ năng ""tương tác với AI/Chatbot"" lại quan trọng đối với nhân viên CSKH?",Để thay thế hoàn toàn nhân viên con người.,Để tối ưu hóa quy trình cộng tác người - máy.,Để nhân viên có thể lập trình lại robot.,Để giúp nhân viên làm việc ít giờ hơn.,B,Để tối ưu hóa quy trình cộng tác người - máy.,"Nhân viên cần làm việc song song với AI (cộng tác), để AI xử lý các tác vụ lặp lại trong khi con người xử lý các vấn đề phức tạp hơn."
20,"Chương_1_Tiết 6 Hạ tầng Nhân lực, Phân phối & Bài tập",1,1,"Giải pháp ""Supply Chain Segmentation"" (Phân khúc chuỗi cung ứng) giúp doanh nghiệp giải quyết vấn đề gì?",Áp dụng một quy trình duy nhất cho mọi khách hàng.,Tối ưu hóa phục vụ cho các nhóm khách hàng khác nhau.,Loại bỏ hoàn toàn nhu cầu dự báo.,Tăng lượng hàng tồn kho cho mọi sản phẩm.,B,Tối ưu hóa phục vụ cho các nhóm khách hàng khác nhau.,Phân khúc chuỗi cung ứng tạo ra các quy trình riêng biệt phù hợp với nhu cầu của từng loại khách hàng hoặc sản phẩm khác nhau để tối ưu hóa lợi nhuận và dịch vụ.
